"reg","loc","year","ave"
0,"V",1977,9.841666667
0,"V",1978,10.09166667
0,"V",1979,10.34166667
0,"V",1980,10.04166667
0,"V",1981,10.63333333
0,"V",1982,9.933333333
0,"V",1983,10.73333333
0,"V",1984,10.00833333
0,"V",1985,9.416666667
0,"V",1986,10.56666667
0,"V",1987,11.1
0,"V",1988,NA
0,"V",1989,NA
0,"V",1990,NA
0,"V",1991,NA
0,"V",1992,NA
0,"V",1993,NA
0,"V",1994,11
0,"V",1995,11.35
0,"V",1996,10.30833333
0,"V",1997,11.28333333
0,"V",1998,11.33333333
0,"V",1999,10.53333333
0,"V",2000,10.53333333
0,"V",2001,10.48333333
0,"V",2002,10.6
0,"V",2003,11.24166667
0,"V",2004,NA
0,"V",2005,NA
0,"V",2006,NA
0,"V",2007,NA
0,"W",1950,8.625
0,"W",1951,8.941666667
0,"W",1952,10.09166667
0,"W",1953,10.38333333
0,"W",1954,9.691666667
0,"W",1955,10.16666667
0,"W",1956,9.1
0,"W",1957,9.141666667
0,"W",1958,8.733333333
0,"W",1959,9.45
0,"W",1960,8.825
0,"W",1961,9.15
0,"W",1962,8.7
0,"W",1963,8.35
0,"W",1964,9.35
0,"W",1965,8.658333333
0,"W",1966,8.575
0,"W",1967,8.466666667
0,"W",1968,8.891666667
0,"W",1969,8.658333333
0,"W",1970,9.041666667
0,"W",1971,9.608333333
0,"W",1972,8.516666667
0,"W",1973,10.24166667
0,"W",1974,8.983333333
0,"W",1975,9.758333333
0,"W",1976,8.633333333
0,"W",1977,9.191666667
0,"W",1978,8.366666667
0,"W",1979,8.491666667
0,"W",1980,8.666666667
0,"W",1981,9.108333333
0,"W",1982,8.95
0,"W",1983,9.608333333
0,"W",1984,9.308333333
0,"W",1985,9.391666667
0,"W",1986,9.583333333
0,"W",1987,10.50833333
0,"W",1988,9.783333333
0,"W",1989,8.816666667
0,"W",1990,10.34166667
0,"W",1991,10.675
0,"W",1992,8.866666667
0,"W",1993,9.05
0,"W",1994,9.325
0,"W",1995,9.391666667
0,"W",1996,8.85
0,"W",1997,9.033333333
0,"W",1998,11.875
0,"W",1999,10.68333333
0,"W",2000,9.783333333
0,"W",2001,10.73333333
0,"W",2002,10.49166667
0,"W",2003,9.2
0,"W",2004,9.891666667
0,"W",2005,10.4
0,"W",2006,11.19166667
0,"W",2007,10.65833333
0,"Y",1950,7.033333333
0,"Y",1951,8.316666667
0,"Y",1952,7.641666667
0,"Y",1953,8.316666667
0,"Y",1954,7.316666667
0,"Y",1955,6.85
0,"Y",1956,6.666666667
0,"Y",1957,7.3
0,"Y",1958,6.916666667
0,"Y",1959,6.991666667
0,"Y",1960,7.391666667
0,"Y",1961,6.808333333
0,"Y",1962,6.225
0,"Y",1963,6.416666667
0,"Y",1964,6.216666667
0,"Y",1965,5.616666667
0,"Y",1966,6.683333333
0,"Y",1967,6.166666667
0,"Y",1968,6.716666667
0,"Y",1969,7.458333333
0,"Y",1970,6.55
0,"Y",1971,6.8
0,"Y",1972,6.225
0,"Y",1973,7.425
0,"Y",1974,6.4
0,"Y",1975,6.758333333
0,"Y",1976,6.95
0,"Y",1977,6.783333333
0,"Y",1978,6.133333333
0,"Y",1979,7.608333333
0,"Y",1980,6.366666667
0,"Y",1981,7.341666667
0,"Y",1982,6.758333333
0,"Y",1983,7.475
0,"Y",1984,7.516666667
0,"Y",1985,6.591666667
0,"Y",1986,6.8
0,"Y",1987,6.766666667
0,"Y",1988,6.866666667
0,"Y",1989,6.5
0,"Y",1990,7.741666667
0,"Y",1991,7.316666667
0,"Y",1992,5.95
0,"Y",1993,6.558333333
0,"Y",1994,6.991666667
0,"Y",1995,7.091666667
0,"Y",1996,6.7
0,"Y",1997,6.508333333
0,"Y",1998,7.641666667
0,"Y",1999,8.483333333
0,"Y",2000,7.5
0,"Y",2001,7.341666667
0,"Y",2002,7.55
0,"Y",2003,6.9
0,"Y",2004,6.25
0,"Y",2005,7.283333333
0,"Y",2006,8.25
0,"Y",2007,6.8
